,id,eid,formula,R1,R2,R3,F1,F2,F3,P0,P1,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition
128,129,Ti-7Fe-11Nb,Ti0.8754Fe0.0641Nb0.0605,52,10.1016/j.msec.2015.11.072,haghighi2016,0,0,0,,150.00,86.00,,985.00,,,,-41.50,,325.00,8.00,23.39,meta,Ti-beta,,,As-cast,Cold crucible levitation melting (CCLM). Mechanical tests in compression. Vickers hardness from Fig. 8; errors estimated from Fig. 8. Average grain size rougly estimated from Fig. 2.,Ti0.8754 Fe0.0641 Nb0.0605
129,130,Ti-33Zr-3Fe-2Cr,Ti0.7405Cr0.022Fe0.0307Zr0.2068,53,10.1016/j.matdes.2018.05.035,rabadia2018,0,0,0,,,140.00,5.00,1049.00,17.00,1755.00,50.00,-25.70,2.00,,,11.90,meta,Ti-beta,C15,Fe2Zr,As-cast,"Cold crucible levitation melting (CCLM). Mechanical tests in compression. Elastic modulus via nanohardness. Approximations: Fig 5 (Yield stregth), Fig (UTS, plastic strain), Fig 7 (Elastic modulus).",Ti0.7405 Cr0.022 Fe0.0307 Zr0.2068
130,131,Ti-33Zr-5Fe-2Cr,Ti0.7191Cr0.0221Fe0.0514Zr0.2075,53,10.1016/j.matdes.2018.05.035,rabadia2018,0,0,0,,,145.00,8.00,1130.00,12.00,1830.00,55.00,-24.80,2.50,,,17.71,meta,Ti-beta,C15,Fe2Zr,As-cast,"Cold crucible levitation melting (CCLM). Mechanical tests in compression. Elastic modulus via nanohardness. Approximations: Fig 5 (Yield stregth), Fig (UTS, plastic strain), Fig 7 (Elastic modulus).",Ti0.7191 Cr0.0221 Fe0.0514 Zr0.2075
131,132,Ti-33Zr-7Fe-2Cr,Ti0.6975Cr0.0221Fe0.0722Zr0.2082,53,10.1016/j.matdes.2018.05.035,rabadia2018,0,0,0,,,157.00,13.00,1239.00,27.00,1901.00,39.00,-24.20,2.60,,,23.51,meta,Ti-beta,C15,Fe2Zr,As-cast,"Cold crucible levitation melting (CCLM). Mechanical tests in compression. Elastic modulus via nanohardness. Approximations: Fig 5 (Yield stregth), Fig (UTS, plastic strain), Fig 7 (Elastic modulus).",Ti0.6975 Cr0.0221 Fe0.0722 Zr0.2082
132,133,Ti-33Zr-3Fe-4Cr,Ti0.718Cr0.0441Fe0.0308Zr0.2072,53,10.1016/j.matdes.2018.05.035,rabadia2018,0,0,0,,,130.00,6.00,1113.00,32.00,2008.00,79.00,-33.70,1.90,,,15.11,meta,Ti-beta,C15,"Zr(Fe,Cr)2",As-cast,"Cold crucible levitation melting (CCLM). Mechanical tests in compression. Elastic modulus via nanohardness. Approximations: Fig 5 (Yield stregth), Fig (UTS, plastic strain), Fig 7 (Elastic modulus).",Ti0.718 Cr0.0441 Fe0.0308 Zr0.2072
133,134,Ti-33Zr-5Fe-4Cr,Ti0.6964Cr0.0442Fe0.0515Zr0.2079,53,10.1016/j.matdes.2018.05.035,rabadia2018,0,0,0,,,142.00,14.00,1210.00,11.00,1712.00,34.00,-22.00,0.50,,,20.91,meta,Ti-beta,C15,"Zr(Fe,Cr)2",As-cast,"Cold crucible levitation melting (CCLM). Mechanical tests in compression. Elastic modulus via nanohardness. Approximations: Fig 5 (Yield stregth), Fig (UTS, plastic strain), Fig 7 (Elastic modulus).",Ti0.6964 Cr0.0442 Fe0.0515 Zr0.2079
134,135,Ti-33Zr-7Fe-4Cr,Ti0.6747Cr0.0444Fe0.0723Zr0.2086,53,10.1016/j.matdes.2018.05.035,rabadia2018,0,0,0,,,149.00,13.00,1287.00,41.00,1567.00,48.00,-8.70,1.20,,,26.71,meta,Ti-beta,C15,"Zr(Fe,Cr)2",As-cast,"Cold crucible levitation melting (CCLM). Mechanical tests in compression. Elastic modulus via nanohardness. Approximations: Fig 5 (Yield stregth), Fig (UTS, plastic strain), Fig 7 (Elastic modulus).",Ti0.6747 Cr0.0444 Fe0.0723 Zr0.2086
135,136,Ti-27Nb-7Fe,Ti0.7682Fe0.0698Nb0.1619,54,10.1016/j.msea.2018.07.031,rabadia2018b,0,0,0,,,116.00,9.00,784.00,9.00,,,-34.00,1.00,,,27.85,meta,Ti-beta,Ti-alpha-dp,,As-cast,Melting in a cold crucible levitation melting furnace. Mechanical evaluation in compression. Yield strength taken from Fig. 5. Young modulus and plastic strain taken from Fig. 6,Ti0.7682 Fe0.0698 Nb0.1619
136,137,Ti-27Nb-7Fe-2Cr,Ti0.7463Cr0.0215Fe0.07Nb0.1622,54,10.1016/j.msea.2018.07.031,rabadia2018b,0,0,0,,,99.00,5.00,1097.00,21.00,,,-26.00,1.00,,,31.07,stable,Ti-beta,,,As-cast,Melting in a cold crucible levitation melting furnace. Mechanical evaluation in compression. Yield strength taken from Fig. 5. Young modulus and plastic strain taken from Fig. 6,Ti0.7463 Cr0.0215 Fe0.07 Nb0.1622
137,138,Ti-27Nb-7Fe-4Cr,Ti0.7244Cr0.043Fe0.0701Nb0.1625,54,10.1016/j.msea.2018.07.031,rabadia2018b,0,0,0,,,81.00,2.00,947.00,22.00,,,-30.00,2.00,,,34.26,stable,Ti-beta,,,As-cast,Melting in a cold crucible levitation melting furnace. Mechanical evaluation in compression. Yield strength taken from Fig. 5. Young modulus and plastic strain taken from Fig. 6,Ti0.7244 Cr0.043 Fe0.0701 Nb0.1625
138,139,Ti-27Nb-7Fe-6Cr,Ti0.7023Cr0.0647Fe0.0702Nb0.1628,54,10.1016/j.msea.2018.07.031,rabadia2018b,0,0,0,,,77.00,4.00,922.00,14.00,,,-33.00,1.00,,,37.46,stable,Ti-beta,,,As-cast,Melting in a cold crucible levitation melting furnace. Mechanical evaluation in compression. Yield strength taken from Fig. 5. Young modulus and plastic strain taken from Fig. 6,Ti0.7023 Cr0.0647 Fe0.0702 Nb0.1628
139,140,Ti-27Nb-7Fe-8Cr,Ti0.6801Cr0.0864Fe0.0704Nb0.1631,54,10.1016/j.msea.2018.07.031,rabadia2018b,0,0,0,,,72.00,5.00,941.00,23.00,,,-33.00,2.00,,,40.68,stable,Ti-beta,,,As-cast,Melting in a cold crucible levitation melting furnace. Mechanical evaluation in compression. Yield strength taken from Fig. 5. Young modulus and plastic strain taken from Fig. 6,Ti0.6801 Cr0.0864 Fe0.0704 Nb0.1631
140,141,Ti-9Mn,Ti0.9165Mn0.0835,55,10.1016/j.actbio.2015.08.015,santos2015,1,1,0,700.00,190.00,94.00,,1023.00,,1048.00,,19.00,,338.00,13.00,16.09,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size reported in section 3.1.,Ti0.9165 Mn0.0835
141,142,Ti-13Mn,Ti0.888Mn0.112,55,10.1016/j.actbio.2015.08.015,santos2015,1,1,0,700.00,190.00,100.00,,927.00,,939.00,,13.00,,312.00,8.00,21.50,meta,Ti-beta,,,ST-WQ,Average grain size reported in section 3.1. Absence of omega not conclusive,Ti0.888 Mn0.112
142,143,Ti-5Mn-3Mo,Ti0.9387Mn0.0463Mo0.015,56,10.2320/matertrans.M2016286,santos2017,1,1,0,2220.00,37.00,88.00,,980.00,,1036.00,,2.00,,331.00,,11.78,meta,Ti-beta,Ti-omega,,PM,Average grain size reported in section 3.1.,Ti0.9387 Mn0.0463 Mo0.015
143,144,Ti-5Mn-4Mo,Ti0.9334Mn0.0461Mo0.0205,56,10.2320/matertrans.M2016286,santos2017,1,1,0,2350.00,37.00,84.00,,1046.00,,1104.00,,1.90,,337.00,,12.75,meta,Ti-beta,Ti-omega,,PM,Average grain size reported in section 3.1.,Ti0.9334 Mn0.0461 Mo0.0205
144,145,Ti-6Mn-3Mo,Ti0.9294Mn0.0552Mo0.0154,56,10.2320/matertrans.M2016286,santos2017,1,1,0,2280.00,37.00,86.00,,1077.00,,1143.00,,3.90,,359.00,,13.54,meta,Ti-beta,Ti-omega,,PM,Average grain size reported in section 3.1.,Ti0.9294 Mn0.0552 Mo0.0154
145,146,Ti-6Mn-4Mo,Ti0.9243Mn0.0554Mo0.0203,56,10.2320/matertrans.M2016286,santos2017,1,1,0,2440.00,37.00,85.00,,1033.00,,1093.00,,5.00,,312.00,,14.46,meta,Ti-beta,Ti-omega,,PM,Average grain size reported in section 3.1.,Ti0.9243 Mn0.0554 Mo0.0203
146,147,Ti-15Zr-5Cr-2Al,Ti0.8296Al0.0377Cr0.049Zr0.0837,57,10.1016/j.msec.2016.11.101,wang2017,0,0,1,,200.00,58.00,3.50,625.40,31.80,1879.90,58.50,-23.70,,302.00,10.00,6.01,near,Ti-beta,,,ST-WQ,ST at 1173 for 0.5 h followed by ice water quench. Mechanical properties assessed in compression tests. Grain size roughly estimated from Fig. 2.,Ti0.8296 Al0.0377 Cr0.049 Zr0.0837
147,148,Ti-36Nb-3Zr-2Ta-0.3O,Ti0.7474Zr0.0203Nb0.2254Ta0.0069,58,10.1016/j.scriptamat.2008.05.022,talling2008,1,1,0,3000.00,15.00,64.50,2.10,700.00,,840.00,,12.90,,,,10.26,meta,Ti-beta,,,ST-WQ,"IM0.0 condition, grain thickness on the order of 15 um (page 2). Yield strength approx. from Fig. 2",Ti0.7474 Zr0.0203 Nb0.2254 Ta0.0069
148,149,Ti-32.5Nb-6.8Zr-2.7Sn,Ti0.7305Zr0.0449Nb0.2109Sn0.0137,59,10.1016/j.jmst.2017.04.017,lan2018,0,0,1,,170.00,54.20,,380.00,,562.00,,20.00,,,,9.10,near,Ti-beta,,,ST-WQ,Solution treated at 1000 deg C for 1 h followed by WQ. Yield strength estimated from Fig. 8. Grain size roughly estimated from Fig. 1.,Ti0.7305 Zr0.0449 Nb0.2109 Sn0.0137
149,150,Ti-12Mo,Ti0.9363Mo0.0637,60,10.1016/j.matchar.2018.03.031,zhang2018,0,1,1,,80.00,,,480.00,,1000.00,,38.00,,,,12.00,meta,Ti-beta,Ti-omega,,ST-WQ,Solution treated at 900 deg C for 0.5 h and subsequently WQ. Mechanical properties approx. from Fig. 2. Potential occurrence of TRIP/TWIN. Grain size assumed to be similar to other alloys from the same study.,Ti0.9363 Mo0.0637
150,151,Ti-12Mo-5Zr,Ti0.906Zr0.0286Mo0.0654,60,10.1016/j.matchar.2018.03.031,zhang2018,0,1,1,,80.00,,,650.00,,950.00,,50.00,,,,12.01,meta,Ti-beta,Ti-omega,,ST-WQ,Solution treated at 900 deg C for 0.5 h and subsequently WQ. Mechanical properties approx. from Fig. 2. Potential occurrence of TRIP/TWIN.,Ti0.906 Zr0.0286 Mo0.0654
151,152,Ti-35Nb,Ti0.7828Nb0.2172,61,10.1016/j.matdes.2013.10.067,griza2014,0,0,1,,500.00,73.90,0.40,289.00,27.00,561.00,22.00,59.00,14.00,202.00,6.00,9.80,near,Ti-beta,Ti-alpha-dp,,ST-WQ,Hot rolling at 800 deg C followed by WQ. YS assumed to be Y2 (Table 1) since these alloys present double yielding. Grain size roughly estimated from Fig. 3. Hardness extracted from Fig. 9. ,Ti0.7828 Nb0.2172
152,153,Ti-35Nb-2.5Sn,Ti0.7665Nb0.2211Sn0.0124,61,10.1016/j.matdes.2013.10.067,griza2014,0,0,1,,500.00,65.80,1.10,237.00,8.00,566.00,21.00,55.00,5.00,195.00,6.00,9.80,near,Ti-beta,Ti-alpha-dp,,ST-WQ,Hot rolling at 800 deg C followed by WQ. YS assumed to be Y2 (Table 1) since these alloys present double yielding. Grain size roughly estimated from Fig. 3. Hardness extracted from Fig. 9. ,Ti0.7665 Nb0.2211 Sn0.0124
153,154,Ti-35Nb-5Sn,Ti0.7495Nb0.2253Sn0.0252,61,10.1016/j.matdes.2013.10.067,griza2014,0,0,1,,500.00,68.20,1.20,216.00,18.00,563.00,10.00,36.00,7.00,184.00,6.00,9.80,near,Ti-beta,,,ST-WQ,Hot rolling at 800 deg C followed by WQ. YS assumed to be Y2 (Table 1) since these alloys present double yielding. Grain size roughly estimated from Fig. 3. Hardness extracted from Fig. 9. ,Ti0.7495 Nb0.2253 Sn0.0252
154,155,Ti-35Nb-7.5Sn,Ti0.732Nb0.2295Sn0.0385,61,10.1016/j.matdes.2013.10.067,griza2014,0,0,1,,500.00,86.40,1.70,262.00,24.00,478.00,22.00,38.00,6.00,202.00,6.00,9.80,near,Ti-beta,,,ST-WQ,Hot rolling at 800 deg C followed by WQ. YS assumed to be Y2 (Table 1) since these alloys present double yielding. Grain size roughly estimated from Fig. 3. Hardness extracted from Fig. 9. ,Ti0.732 Nb0.2295 Sn0.0385
155,156,Ti-8.5Cr-1.5Sn,Ti0.9144Cr0.0795Sn0.0061,62,10.1016/j.scriptamat.2015.11.020,brozek2016,1,1,1,400.00,200.00,83.00,4.20,554.00,27.70,1240.00,62.00,35.00,1.80,,,13.60,meta,Ti-beta,,,ST-WQ,"ST at 900 deg C for 30 min, and then WQ. Mechanical properties estimated from Figure 4a. Errors estimated to be 5%.",Ti0.9144 Cr0.0795 Sn0.0061
156,157,Ti-9Mo-6W,Ti0.9335Mo0.0493W0.0172,63,10.1016/j.scriptamat.2014.09.005,sun2015,0,1,1,,50.00,59.00,3.00,519.00,26.00,1098.00,54.90,34.00,1.70,,,11.64,meta,Ti-beta,Ti-omega,,ST-WQ,ST at 900 deg C for 30 min and quenched in water. Mechanical properties estimated from Figure 1b. Errors estimated to be 5%.,Ti0.9335 Mo0.0493 W0.0172
157,158,Ti-12Mo,Ti0.9344Fe0.0002Mo0.0654,64,10.1016/j.actamat.2013.07.019,sun2013,1,1,1,600.00,30.00,78.00,3.90,481.00,24.10,974.00,48.70,38.00,1.90,,,12.36,meta,Ti-beta,Ti-omega,,ST-WQ,ST at 900 deg C for 30 min and quenched in water. Mechanical properties estimated from Figure 1. Grain size roughly estimated based on Fig. 3. Errors estimated to be 5%.,Ti0.9344 Fe0.0002 Mo0.0654
158,159,Ti-24Nb-8Sn-4Zr,Ti0.7843Zr0.0252Nb0.1519Sn0.0387,65,10.1016/j.actbio.2006.11.002,hao2007,1,0,1,1100.00,50.00,50.00,2.50,350.00,,,,,,,,6.75,near,Ti-beta,Ti-alpha-dp,Ti-omega,ST-AC,ST at 850 deg C for 60 min followed by 40s air cooling then WQ. Average grain size roughly estimated as 50 um (Figure 2). Yield strength estimated from Fig. 9. Elastic modulus estimated from Fig. 11.,Ti0.7843 Zr0.0252 Nb0.1519 Sn0.0387
159,160,Ti-20V-43Zr-0.6O,Ti0.4609V0.2431Ni0.0037Fe0.0007Zr0.2917,66,10.1016/j.scriptamat.2009.02.044,talling2009,1,1,1,6400.00,,82.18,,635.00,,635.00,,1.80,,,,14.16,meta,Ti-beta,Ti-beta2,Ti-beta3,ST-AC,Hot extruded in the beta phase-field. Details about the cooling not specified. Oxygen content from Table 1. Mechanical strength extracted from Figure 2. ,Ti0.4609 V0.2431 Ni0.0037 Fe0.0007 Zr0.2917
160,161,Ti-24Nb-8Sn-4Zr,Ti0.7883Zr0.0243Nb0.15Sn0.0374,67,10.1016/j.actamat.2010.09.015,obbard2011,1,1,1,800.00,5.00,59.20,5.00,282.00,,665.00,,,,,,6.69,near,Ti-alpha-dp,Ti-beta,,ST-AC,Hot forged at 850 deg C and air cooled. YS assumed to be the Y02% from the first cycles (Table 2). Elastic modulus assuming the average of directional elastic moduli reported in Table 5.,Ti0.7883 Zr0.0243 Nb0.15 Sn0.0374
161,162,Ti-24Nb-8Sn-4Zr-0.15O,Ti0.7823Zr0.0257Nb0.1522Sn0.0398,67,10.1016/j.actamat.2010.09.015,obbard2011,1,1,1,1500.00,5.00,61.60,,380.00,,797.00,,,,,,6.75,near,Ti-alpha-dp,Ti-beta,,ST-AC,Hot forged at 850 deg C and air cooled. YS assumed to be the Y02% from the first cycles (Table 2). Elastic modulus assuming the average of directional elastic moduli reported in Table 5.,Ti0.7823 Zr0.0257 Nb0.1522 Sn0.0398
162,163,Ti-24Nb-8Sn-4Zr-0.20O,Ti0.7818Zr0.0259Nb0.1528Sn0.0394,67,10.1016/j.actamat.2010.09.015,obbard2011,1,1,1,2000.00,5.00,47.80,,515.00,,852.00,,,,,,6.78,near,Ti-alpha-dp,Ti-beta,,ST-AC,Hot forged at 850 deg C and air cooled. YS assumed to be the Y02% from the first cycles (Table 2). Elastic modulus assuming the average of directional elastic moduli reported in Table 5.,Ti0.7818 Zr0.0259 Nb0.1528 Sn0.0394
163,164,Ti-24Nb-8Sn-4Zr-0.40O,Ti0.7861Zr0.024Nb0.1504Sn0.0395,67,10.1016/j.actamat.2010.09.015,obbard2011,1,1,1,4000.00,5.00,53.20,4.00,649.00,,778.00,,,,,,6.69,near,Ti-beta,Ti-alpha-dp,,ST-AC,Hot forged at 850 deg C and air cooled. YS assumed to be the Y02% from the first cycles (Table 2). Elastic modulus assuming the average of directional elastic moduli reported in Table 5.,Ti0.7861 Zr0.024 Nb0.1504 Sn0.0395
164,165,Ti-25Nb,Ti0.8534Nb0.1466,68,10.1016/j.jallcom.2010.05.134,souza2010,0,0,0,1540.00,250.00,64.00,2.00,456.00,28.00,688.00,14.00,4.00,5.00,181.00,16.00,7.00,near,Ti-alpha-dp,,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Oxygen content estimated based on the average reported for other samples from the same study. Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.8534 Nb0.1466
165,166,Ti-25Nb-2.5Ta,Ti0.8426Nb0.1497Ta0.0077,68,10.1016/j.jallcom.2010.05.134,souza2010,0,0,0,1540.00,250.00,71.00,1.00,374.00,16.00,642.00,9.00,48.00,7.00,159.00,7.00,7.55,near,Ti-alpha-dp,,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Oxygen content estimated based on the average reported for other samples from the same study. Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.8426 Nb0.1497 Ta0.0077
166,167,Ti-25Nb-5Ta,Ti0.8313Nb0.153Ta0.0157,68,10.1016/j.jallcom.2010.05.134,souza2010,0,0,0,1540.00,250.00,78.00,1.00,433.00,10.00,543.00,8.00,9.00,4.00,165.00,7.00,8.10,near,Ti-alpha-dp,,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Oxygen content estimated based on the average reported for other samples from the same study. Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.8313 Nb0.153 Ta0.0157
167,168,Ti-25Nb-7.5Ta,Ti0.8195Nb0.1564Ta0.0241,68,10.1016/j.jallcom.2010.05.134,souza2010,0,0,0,1540.00,250.00,78.00,3.00,376.00,12.00,590.00,13.00,56.00,2.00,172.00,5.00,8.65,near,Ti-alpha-dp,,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Oxygen content estimated based on the average reported for other samples from the same study. Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.8195 Nb0.1564 Ta0.0241
168,169,Ti-30Nb,Ti0.8191Nb0.1809,68,10.1016/j.jallcom.2010.05.134,souza2010,0,0,0,1540.00,250.00,79.00,1.00,327.00,7.00,532.00,12.00,70.00,1.00,193.00,10.00,8.40,near,Ti-alpha-dp,,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Oxygen content estimated based on the average reported for other samples from the same study. Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.8191 Nb0.1809
169,170,Ti-30Nb-2.5Ta,Ti0.8072Nb0.1848Ta0.0079,68,10.1016/j.jallcom.2010.05.134,souza2010,0,0,0,1540.00,250.00,81.00,1.00,411.00,19.00,584.00,10.00,24.00,5.00,180.00,3.00,8.95,near,Ti-alpha-dp,,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Oxygen content estimated based on the average reported for other samples from the same study. Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.8072 Nb0.1848 Ta0.0079
170,171,Ti-30Nb-5Ta,Ti0.7948Nb0.189Ta0.0162,68,10.1016/j.jallcom.2010.05.134,souza2010,0,0,0,1540.00,250.00,80.00,3.00,377.00,13.00,595.00,11.00,74.00,4.00,197.00,10.00,9.50,near,Ti-alpha-dp,,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Oxygen content estimated based on the average reported for other samples from the same study. Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.7948 Nb0.189 Ta0.0162
171,172,Ti-30Nb-7.5Ta,Ti0.7818Nb0.1934Ta0.0248,68,10.1016/j.jallcom.2010.05.134,souza2010,0,0,0,1540.00,250.00,81.00,4.00,395.00,9.00,584.00,11.00,69.00,3.00,215.00,7.00,10.05,meta,Ti-alpha-dp,,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Oxygen content estimated based on the average reported for other samples from the same study. Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.7818 Nb0.1934 Ta0.0248
172,173,Ti-35Nb,Ti0.7828Nb0.2172,68,10.1016/j.jallcom.2010.05.134,souza2010,0,0,0,1540.00,250.00,85.00,1.00,338.00,11.00,556.00,11.00,72.00,1.00,199.00,2.00,9.80,near,Ti-alpha-dp,Ti-beta,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Oxygen content estimated based on the average reported for other samples from the same study. Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.7828 Nb0.2172
173,174,Ti-35Nb-2.5Ta,Ti0.7698Nb0.2221Ta0.0081,68,10.1016/j.jallcom.2010.05.134,souza2010,0,0,0,1540.00,250.00,85.00,1.00,303.00,11.00,580.00,8.00,61.00,5.00,202.00,4.00,10.35,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Oxygen content estimated based on the average reported for other samples from the same study. Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.7698 Nb0.2221 Ta0.0081
174,175,Ti-35Nb-5Ta,Ti0.7561Nb0.2272Ta0.0167,68,10.1016/j.jallcom.2010.05.134,souza2010,1,1,0,1150.00,250.00,84.00,1.00,340.00,43.00,602.00,8.00,28.00,2.00,206.00,5.00,10.90,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.7561 Nb0.2272 Ta0.0167
175,176,Ti-35Nb-7.5Ta,Ti0.7418Nb0.2326Ta0.0256,68,10.1016/j.jallcom.2010.05.134,souza2010,1,1,0,1930.00,250.00,90.00,1.00,314.00,13.00,585.00,16.00,65.00,3.00,231.00,6.00,11.45,meta,Ti-beta,,,ST-WQ,ST at 1000 deg C for 1 h and then WQ (200 C/s). Average grain size approx. 250 um (Figure 5). Elastic modulus and hardness from Fig. 8. Yield strength from Fig. 9. Deformation represented by the reduction in area (Fig. 9). ,Ti0.7418 Nb0.2326 Ta0.0256
176,177,Ti-24Nb-38Zr-2Mo,Ti0.5171Zr0.2908Nb0.1776Mo0.0146,69,10.1016/j.actbio.2021.07.061,tong2021,0,0,0,,245.00,64.20,0.90,714.00,7.00,772.00,9.00,16.00,1.00,251.00,5.00,8.70,near,Ti-beta,,,ST-WQ,"ST at 800 deg C for 30 min, followed by water quenching (ref. CR-ST condition).",Ti0.5171 Zr0.2908 Nb0.1776 Mo0.0146
177,178,Ti-24Nb-38Zr-2Mo-0.1Sc,Ti0.51Zr0.2946Nb0.1785Mo0.0152Sc0.0017,69,10.1016/j.actbio.2021.07.061,tong2021,0,0,0,,207.00,65.40,0.80,780.00,8.00,809.00,7.00,19.00,1.00,265.00,4.00,8.79,near,Ti-beta,,,ST-WQ,"ST at 800 deg C for 30 min, followed by water quenching (ref. CR-ST condition).",Ti0.51 Zr0.2946 Nb0.1785 Mo0.0152 Sc0.0017
178,179,Ti-30Nb-1Mo-4Sn,Ti0.7872Nb0.1872Mo0.006Sn0.0195,70,10.1007/s11661-013-2134-8,hu2014,0,1,1,,,45.00,,220.00,,,,,,,,9.39,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 1 h followed by quenching into water at RT. Presents notable double-yielding - YS refers approx. to the second yield (Figure 4). Other mechanical properties not reported. ,Ti0.7872 Nb0.1872 Mo0.006 Sn0.0195
179,180,Ti-35Nb-7Zr-5Ta-1Si,Ti0.6777Zr0.0479Nb0.235Ta0.0172Si0.0222,71,10.1016/j.msec.2015.11.043,kopova2016,0,0,0,,30.00,70.00,,561.00,26.00,618.00,11.00,12.00,3.00,,,10.90,meta,Ti-beta,"(Zr,X)Si",,ST-WQ,ST at 1000 deg C for 2 h followed by WQ. Grain size higher roughly estimated from Fig. 1. Elastic modulus from Figure 3. Mechanical strengths from Figure 4. Elongation from Figure 5.,Ti0.6777 Zr0.0479 Nb0.235 Ta0.0172 Si0.0222
180,181,Ti-35Nb-7Zr-5Ta-2Fe,Ti0.6733Fe0.0226Zr0.0485Nb0.2381Ta0.0175,71,10.1016/j.msec.2015.11.043,kopova2016,0,0,0,,250.00,81.00,,588.00,9.00,721.00,20.00,27.00,2.00,,,16.69,meta,Ti-beta,,,ST-WQ,ST at 1000 deg C for 2 h followed by WQ. Grain size higher roughly estimated from Fig. 1. Elastic modulus from Figure 3. Mechanical strengths from Figure 4. Elongation from Figure 5.,Ti0.6733 Fe0.0226 Zr0.0485 Nb0.2381 Ta0.0175
181,182,Ti-35Nb-7Zr-5Ta-0.5Si-1Fe,Ti0.6755Fe0.0112Zr0.0482Nb0.2365Ta0.0173Si0.0112,71,10.1016/j.msec.2015.11.043,kopova2016,0,0,0,,150.00,75.00,,632.00,11.00,683.00,20.00,14.00,2.00,,,13.79,meta,Ti-beta,"(Zr,X)Si",,ST-WQ,ST at 1000 deg C for 2 h followed by WQ. Grain size higher roughly estimated from Fig. 1. Elastic modulus from Figure 3. Mechanical strengths from Figure 4. Elongation from Figure 5.,Ti0.6755 Fe0.0112 Zr0.0482 Nb0.2365 Ta0.0173 Si0.0112
182,183,Ti-35Nb-7Zr-5Ta-0.5Si-2Fe,Ti0.6636Fe0.0225Zr0.0483Nb0.237Ta0.0174Si0.0112,71,10.1016/j.msec.2015.11.043,kopova2016,0,0,0,,150.00,85.00,,720.00,19.00,841.00,32.00,15.00,2.00,,,16.69,meta,Ti-beta,"(Zr,X)Si",,ST-WQ,ST at 1000 deg C for 2 h followed by WQ. Grain size higher roughly estimated from Fig. 1. Elastic modulus from Figure 3. Mechanical strengths from Figure 4. Elongation from Figure 5.,Ti0.6636 Fe0.0225 Zr0.0483 Nb0.237 Ta0.0174 Si0.0112
